127.0.0.1 - - [11/Dec/2018:02:56:03 -0500] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Dec/2018:02:56:05 -0500] "GET /vendor/ HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [11/Dec/2018:02:56:05 -0500] "GET /vendor/webjars/jquery/3.3.1/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/Dec/2018:02:56:05 -0500] "GET /vendor/webjars/bootstrap/4.1.3/bootstrap.min.js HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [11/Dec/2018:02:56:37 -0500] "GET /vendor/ HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [11/Dec/2018:02:56:37 -0500] "GET /vendor/webjars/bootstrap/4.1.3/bootstrap.min.js HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [11/Dec/2018:02:56:37 -0500] "GET /vendor/webjars/jquery/3.3.1/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/Dec/2018:02:56:37 -0500] "GET /vendor/webjars/bootstrap/4.1.3/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [11/Dec/2018:02:56:37 -0500] "GET /vendor/webjars/bootstrap/4.1.3/bootstrap.min.js HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [11/Dec/2018:02:56:37 -0500] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [11/Dec/2018:02:57:40 -0500] "GET /vendor/login?username=haixia%40sef.gf&password=2018 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:02:57:40 -0500] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [11/Dec/2018:02:58:30 -0500] "GET /vendor/login?username=haixia@ewf.e&password=2018 HTTP/1.1" 200 -
